date,generator_id,estimator_id,currency,signal_count,penalty_factor,base_confidence,aggregate_confidence
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,JPY,5,1.0,-0.16,-0.16
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,MXN,1,0.4307,-0.9,-0.3876
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,SEK,3,0.8614,-0.3,-0.2584
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,SEK,3,0.8614,0.2,0.1723
2026-03-01,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,USD,29,1.0,-0.2714,-0.2714
2026-03-01,llm-sentiment-v1-haiku,llm-horizon-v1-default,USD,41,1.0,-0.5439,-0.5439
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,AUD,7,1.0,-0.15,-0.15
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,6,1.0,0.55,0.55
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,4,1.0,0.35,0.35
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,3,0.8614,0.35,0.3015
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,CHF,1,0.4307,-0.8,-0.3445
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,5,1.0,0.87,0.87
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,10,1.0,-0.16,-0.16
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,25,1.0,-0.428,-0.428
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,18,1.0,-0.5111,-0.5111
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,GBP,8,1.0,-0.4312,-0.4312
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,GBP,7,1.0,-0.3429,-0.3429
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,JPY,5,1.0,-0.4,-0.4
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,JPY,6,1.0,-0.2667,-0.2667
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,MXN,1,0.4307,-0.9,-0.3876
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,SEK,3,0.8614,-0.3,-0.2584
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,SEK,2,0.6826,-0.05,-0.0341
2026-03-02,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,USD,35,1.0,0.1709,0.1709
2026-03-02,llm-sentiment-v1-haiku,llm-horizon-v1-default,USD,52,1.0,-0.0846,-0.0846
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,AUD,6,1.0,-0.025,-0.025
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,AUD,7,1.0,0.3571,0.3571
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,CAD,4,1.0,0.35,0.35
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CHF,3,0.8614,0.35,0.3015
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,CHF,1,0.4307,-0.8,-0.3445
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,CNY,6,1.0,0.875,0.875
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,CNY,12,1.0,-0.0167,-0.0167
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,EUR,38,1.0,-0.2611,-0.2611
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,EUR,31,1.0,-0.4742,-0.4742
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,GBP,8,1.0,-0.4312,-0.4312
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,GBP,8,1.0,-0.4,-0.4
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,JPY,5,1.0,-0.4,-0.4
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,JPY,5,1.0,-0.18,-0.18
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,MXN,1,0.4307,-0.9,-0.3876
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,SEK,3,0.8614,-0.3,-0.2584
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,SEK,2,0.6826,-0.05,-0.0341
2026-03-03,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,USD,32,1.0,0.2791,0.2791
2026-03-03,llm-sentiment-v1-haiku,llm-horizon-v1-default,USD,56,1.0,-0.0268,-0.0268
