date,strategy_id,eur_value,usd_value,gbp_value,jpy_value,chf_value,aud_value,cad_value,nok_value,sek_value,cny_value,mxn_value,eur_pct_change,usd_pct_change,gbp_pct_change,jpy_pct_change,chf_pct_change,aud_pct_change,cad_pct_change,nok_pct_change,sek_pct_change,cny_pct_change,mxn_pct_change,avg_pct_change,value
2026-02-27,momentum-T1-size50,1100.1932083079,1297.9650983395,962.4982010316,202240.94100563024,1003.9652966082,1824.2676040411002,1774.7442509720001,12401.482114164599,11754.494766090398,8903.579194300099,22318.8980033127,0.01736007331816902,-0.16755907514114568,0.3981693303483077,-0.2376253632182621,0.06928037127060932,-0.09379038094936126,-0.13093388482389778,-0.05730394159272833,0.2287325716438835,0.03771928388014048,-0.038586216078091845,0.0023147971506930006,0.9999409311432416
2026-02-27,momentum-T2-size5,1100.3141969763,1298.1078560821,962.6040786435,202263.17008588134,1004.0755242353001,1824.4682036661002,1774.9393854334,12402.845231991601,11755.7867114842,8904.557908217299,22321.3513563028,0.014931776929730096,-0.16997238370241105,0.3957479412787364,-0.24004536077711913,0.0668473109983837,-0.09620864689183536,-0.13334967260766478,-0.059728360789369585,0.22630052467346892,0.035292956210348524,-0.04101035738652892,-0.00010857018766010501,0.9999837446828578
2026-02-27,momentum-T2-size10,1100.2735200869,1298.0598570983,962.5684848236001,202255.6947893201,1004.0384375107001,1824.4007543197,1774.8737674178,12402.3868415394,11755.352251124,8904.2287934253,22320.5263519707,0.01493233566452383,-0.16997452356195464,0.39574480513074495,-0.24004541903247392,0.06684784870961975,-0.09620995718682822,-0.13335154234985486,-0.05972838057668288,0.22630068513851403,0.03529285433246475,-0.04101055686209137,-0.0001092591449107789,0.999960256727523
2026-02-27,momentum-T2-size25,1100.1641879622,1297.930844734,962.4728150768,202235.60262408765,1003.9387567082,1824.2194632051005,1774.6973988716002,12401.1547759201,11754.184503814398,8903.344195714,22318.308897761297,0.015247091786143387,-0.16966779383605585,0.39605054829272357,-0.23973325308244164,0.06716256200090127,-0.0959007226173837,-0.13304397936613402,-0.059415542385534356,0.2266148989986478,0.03560577554391483,-0.040698147232199784,0.00020194891841650046,0.9999004939964813
2026-02-27,momentum-T2-size50,1100.0199917286,1297.7606936636,962.3466379115,202209.1037507413,1003.8072955141,1823.9803638053004,1774.4647928386,12399.5298465426,11752.6443979089,8902.1775290104,22315.3843705884,0.016718154555232487,-0.16820986664763568,0.3975128289508524,-0.23826870594107202,0.0686337107680258,-0.09443856230359801,-0.1315845818155615,-0.05794819691641233,0.22808706375492335,0.03707425423120519,-0.03923118097178808,0.001667719787651962,0.9998329084324806
2026-02-27,momentum-T4-size5,1100.2691968011,1298.0547664788999,962.5646944065999,202254.89984027747,1004.0344479086,1824.3935655919,1774.8667438644,12402.338064063699,11755.3059912774,8904.193857478998,22320.438654116704,0.014968265203338873,-0.16993373260692496,0.39578163803780547,-0.24001000058062066,0.06688017671464284,-0.09617344259215314,-0.1333182857642863,-0.059693521470926075,0.22633553275124807,0.03532967951810318,-0.04097481315582525,-7.350035869072266e-05,0.9999533197248195
2026-02-27,momentum-T4-size10,1100.1884731807,1297.9595230599998,962.4940497593,202240.064608535,1003.9608039415,1824.2596906451,1774.7364760507,12401.428326170102,11754.4437213595,8903.540767678001,22318.801410081007,0.015175659683503527,-0.16972715751730164,0.39598323582396755,-0.2398048232666329,0.06708402303648749,-0.09596942050256822,-0.13311849005183957,-0.05948850980779791,0.22654139208908866,0.03553660691027144,-0.0407692523040335,0.00013120582664953963,0.9999037086189126
2026-02-27,momentum-T4-size25,1099.9856388230999,1297.7202102166002,962.3165319383999,202202.788057121,1003.7757547572999,1823.9232883802001,1774.4091369086,12399.142408068401,11752.2770858809,8901.8997604266,22314.687498033403,0.01700419317855861,-0.16790258804940617,0.39780017687165664,-0.23798608993540765,0.0689025952880539,-0.09415198500200443,-0.1313128646125393,-0.05766803636079226,0.22836784973495464,0.03736369656080949,-0.03894691956763179,0.0019518207369319694,0.9997886040787127
2026-02-27,momentum-T4-size50,1099.7549278826998,1297.4480233056,962.1145927115001,202160.3885503068,1003.5652656448,1823.5406151982,1774.0367710969,12396.5422900964,11749.8126685775,8900.033266699,22310.0082010496,0.02282104392629255,-0.16209579054136933,0.40361233229256516,-0.2321924031831686,0.07470535864138537,-0.08835510362141498,-0.1255328093508538,-0.05186619507317664,0.2341874912938612,0.04317816797125757,-0.03314161323319067,0.007756407192926165,0.999687797234565
2026-02-27,momentum-T6-size5,1100.2327936793,1298.0118113711,962.5328455227001,202248.2074043274,1004.0012286100998,1824.3331958044,1774.8080076961,12401.9276887345,11754.9170193911,8903.899224976,22319.700079872102,0.014117564587782133,-0.17078379547242326,0.3949280699544675,-0.2408587603627132,0.06602922342953843,-0.09702375500613789,-0.13416860754543844,-0.060543720283789744,0.22548287572310274,0.034478560189528044,-0.04182529054513209,-0.0009243304846559786,0.9999299736437501
