date,strategy_id,trader_id,trades_executed,eur_acc_val,usd_acc_val,gbp_acc_val,jpy_acc_val,chf_acc_val,aud_acc_val,cad_acc_val,nok_acc_val,sek_acc_val,cny_acc_val,mxn_acc_val
2026-03-22,momentum-T4-size10,combinator-standard,4,101.0074,146.7938,74.5906,11540.6146,50.6194,220.0223,175.2231,1841.9164,543.205,1098.1087,1555.2826
2026-03-22,momentum-T4-size25,combinator-standard,4,99.7754,167.9301,57.8606,5216.324,20.789,267.2262,167.6646,2533.0315,190.2946,1417.7569,1051.1246
2026-03-22,momentum-T4-size50,combinator-standard,4,94.3329,172.7534,36.0441,1217.3365,4.7646,305.9717,133.0993,3185.3316,29.94,1762.9733,573.8395
2026-03-22,momentum-T6-size5,combinator-standard,6,99.5533,142.3992,78.9503,13592.3169,64.951,204.3736,172.7717,1629.3446,637.5107,1004.0495,1691.8329
2026-03-22,momentum-T6-size10,combinator-standard,6,98.2719,159.6013,71.0156,9758.1617,46.5199,233.1913,173.9274,2018.534,377.9102,1165.32,1421.0385
2026-03-22,momentum-T6-size25,combinator-standard,6,91.3003,182.3283,50.2737,3231.6763,18.1795,287.7624,149.6854,2782.4096,75.4746,1521.7106,884.4788
2026-03-22,momentum-T6-size50,combinator-standard,6,75.8001,179.866,26.3381,429.3973,5.0607,334.3899,95.4278,3483.527,4.4193,1864.3015,492.4245
2026-03-22,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,13328.5421,74.8053,221.2422,178.9039,1569.0531,419.8145,1039.2708,1754.4792
2026-03-22,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,8406.8333,58.8665,261.0942,184.9735,1876.1154,152.8176,1219.3299,1496.5505
2026-03-22,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,4931.5038,45.2232,295.5774,184.5062,2049.0189,50.7915,1358.9578,1259.1175
2026-03-22,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,2763.2715,34.0632,327.5785,180.8187,2136.9143,15.1244,1463.8846,1042.1802
2026-03-23,momentum-T1-size5,combinator-standard,1,100.0,121.5484,84.3413,16457.9467,84.7783,173.5734,163.8444,1357.1992,965.9357,861.8409,1911.9644
2026-03-23,momentum-T1-size10,combinator-standard,1,100.0,125.2197,81.4335,14802.83,78.5899,180.3442,166.1144,1568.3763,872.3662,907.0973,1796.4988
2026-03-23,momentum-T1-size25,combinator-standard,1,100.0,135.9808,73.0161,10640.8044,62.1549,200.2232,172.1652,2099.7349,637.7991,1021.6081,1481.2817
2026-03-23,momentum-T1-size50,combinator-standard,1,100.0,153.0733,60.0071,5873.9486,40.9375,231.9103,179.8796,2708.5479,368.302,1152.5429,1050.2667
2026-03-23,momentum-T2-size5,combinator-standard,2,99.9798,123.2132,82.9341,15528.5958,79.087,183.3615,167.0594,1428.6284,884.4265,907.3322,1887.9221
2026-03-23,momentum-T2-size10,combinator-standard,2,99.7952,128.0264,78.7161,13112.658,68.3404,198.4031,170.9911,1700.0282,730.3771,993.0159,1747.5213
2026-03-23,momentum-T2-size25,combinator-standard,2,98.3643,139.6936,66.9247,7622.0279,43.5698,235.6218,174.9932,2360.9635,404.8371,1202.6019,1355.9366
2026-03-23,momentum-T2-size50,combinator-standard,2,93.6394,152.8176,49.9949,2801.7826,19.6968,278.9178,165.7273,3102.6782,142.8701,1425.4384,825.3894
2026-03-23,momentum-T4-size5,combinator-standard,4,100.7428,135.0639,80.7894,13981.6696,68.0342,197.6443,171.1856,1530.5626,763.4511,963.9478,1795.056
2026-03-23,momentum-T4-size10,combinator-standard,4,101.0074,148.165,74.5906,10475.0542,50.6194,222.0977,175.2231,1862.9639,543.205,1098.1087,1584.2588
2026-03-23,momentum-T4-size25,combinator-standard,4,99.7754,169.3072,57.8606,4075.198,20.789,269.381,167.6646,2556.815,190.2946,1417.7569,1082.3182
2026-03-23,momentum-T4-size50,combinator-standard,4,94.3329,173.2756,36.0441,730.6097,4.7646,306.8374,133.0993,3196.4323,29.94,1762.9733,587.1936
2026-03-23,momentum-T6-size5,combinator-standard,6,100.2493,143.2382,79.4381,12719.8638,64.951,205.6298,172.7717,1641.7392,637.5107,1004.0495,1709.1658
2026-03-23,momentum-T6-size10,combinator-standard,6,99.2238,160.7607,71.676,8539.0719,46.5199,234.9462,173.9274,2036.3307,377.9102,1165.32,1445.5393
2026-03-23,momentum-T6-size25,combinator-standard,6,91.9786,183.1815,50.7299,2301.102,18.1795,289.0973,149.6854,2797.1442,75.4746,1521.7106,903.8042
2026-03-23,momentum-T6-size50,combinator-standard,6,75.9386,180.0502,26.4264,213.1082,5.0607,334.6953,95.4278,3487.4426,4.4193,1864.3015,497.135
2026-03-23,haiku-T1-size20,haiku-only,1,100.0,135.9172,78.9927,12513.3685,74.8053,221.2422,178.9039,1617.6695,419.8145,1039.2708,1754.4792
2026-03-23,haiku-T1-size40,haiku-only,1,100.0,150.7196,70.6852,7378.5095,58.8665,261.0942,184.9735,1937.444,152.8176,1219.3299,1496.5505
2026-03-23,haiku-T1-size60,haiku-only,1,100.0,163.1303,62.3777,4026.6715,45.2232,295.5774,184.5062,2102.9825,50.7915,1358.9578,1259.1175
2026-03-23,haiku-T1-size80,haiku-only,1,100.0,173.8897,54.0703,2087.2648,34.0632,327.5785,180.8187,2177.2309,15.1244,1463.8846,1042.1802
2026-03-24,momentum-T1-size5,combinator-standard,1,100.0,121.5484,85.1538,16283.9039,84.7783,173.5734,163.8444,1357.1992,965.9357,861.8409,1911.9644
2026-03-24,momentum-T1-size10,combinator-standard,1,100.0,125.2197,82.895,14489.7501,78.5899,180.3442,166.1144,1568.3763,872.3662,907.0973,1796.4988
2026-03-24,momentum-T1-size25,combinator-standard,1,100.0,135.9808,75.6426,10078.1719,62.1549,200.2232,172.1652,2099.7349,637.7991,1021.6081,1481.2817
2026-03-24,momentum-T1-size50,combinator-standard,1,100.0,153.0733,62.9068,5252.7785,40.9375,231.9103,179.8796,2708.5479,368.302,1152.5429,1050.2667
2026-03-24,momentum-T2-size5,combinator-standard,2,99.9798,123.2132,83.7007,15225.4101,79.087,183.3615,167.0594,1428.6284,884.4265,907.3322,1903.4405
2026-03-24,momentum-T2-size10,combinator-standard,2,99.7952,128.0264,80.0107,12603.1343,68.3404,198.4031,170.9911,1700.0282,730.3771,993.0159,1773.4493
2026-03-24,momentum-T2-size25,combinator-standard,2,98.3643,139.6936,68.8061,6892.5333,43.5698,235.6218,174.9932,2360.9635,404.8371,1202.6019,1392.3935
2026-03-24,momentum-T2-size50,combinator-standard,2,93.6394,152.8176,51.378,2278.8722,19.6968,278.9178,165.7273,3102.6782,142.8701,1425.4384,850.6955
